section,pages,n_words,fk_grade,words_per_sentence,deontic_index,should_per_1k,identity_first_share,novel_text_share,nearest_prior_doc,nearest_cosine,characteristic_words
Executive Summary,17-25,4255,19.051584232453795,29.755244755244757,0.22448979591836735,0.7050528789659225,0.7058823529411765,0.9997708524289642,RTC-2017,0.17185764212896273,"federal, domain, agencies, authority, agenda, action, plan, accountability"
Preface,26-30,2072,19.274945945945948,29.6,0.20833333333333334,1.9305019305019304,1.0,0.9953095684803002,RTC-2017,0.12678341622704925,"agencies, federal, authority, records, materials, implementation, plan, evidence"
Part I,31-33,1409,16.605177726519987,19.569444444444443,0.5862068965517241,9.9361249112846,0.5,0.9979020979020979,RTC-2017,0.1326599744874035,"federal, discovery, implementation, action, enterprise, authority, translation, public"
"Rebalancing the Portfolio: Gaps, Duplication, and Budget Alignment",34-37,1928,17.39915126367409,21.90909090909091,0.7857142857142857,10.37344398340249,0.0,0.9995114802149487,SP-2017,0.12575974906788315,"approximately, billion, nih, cost, annual, economic, roughly, validation"
Recommendation Structure and Plan Architecture,38-40,1026,16.915126705653027,19.0,0.6956521739130435,11.695906432748536,1.0,1.0,RTC-2017,0.10017986152750186,"federal, implementation, accountability, measurable, purpose, action, domain, authority"
Part II — Discovery Biology and the Case for Precision Translation,41-48,3254,17.891617910525834,23.078014184397162,0.34146341463414637,3.3804548248309776,0.8,0.9997078586035641,SP-2017,0.15077006873246035,"addm, feasibility, cohort, completed, federal, surveillance, analyses, rise"
Heterogeneity as the Organizing Principle,49-50,761,20.204370310711713,24.548387096774192,0.3333333333333333,2.628120893561104,1.0,1.0,SP-2017,0.110447343516828,"completed, months, selected, sites, organizing, overlapping, expanded, linkage"
Contributing Factors and Causality,51-53,1278,22.19077891591977,29.045454545454547,0.125,0.7824726134585289,0.6666666666666666,1.0,SP-2017,0.12316074457861288,"maternal, pathways, microbial, heritability, developmental, causation, metabolic, timing"
An Integrated Developmental Systems Framework,54-54,420,17.242857142857144,20.0,0.42857142857142855,7.142857142857142,1.0,1.0,SP-2017,0.07635409277017396,"physiological, resilience, biologically, systems, integrated, timing, vulnerability, interacting"
Implications for Federal Action,54-61,3289,20.59636372780538,24.729323308270676,0.6349206349206349,11.249619945272118,0.8333333333333334,1.0,SP-2017,0.15850517843588383,"regression, metabolic, mitochondrial, biologically, timing, immune, stressors, developmental"
Part III — Precision Infrastructure and the National Translational Ent,62-67,1744,17.209160915807427,15.43362831858407,0.7777777777777778,11.46788990825688,1.0,0.9988907376594565,RTC-2017,0.11977342325261568,"validation, implementation, products, assay, evidence, decisions, precision, enterprise"
Part IV — Priority Therapeutic Domains,68-70,575,15.874186335403724,16.428571428571427,1.0,6.956521739130435,,1.0,SP-2012,0.09057899514542248,"domain, translational, architecture, biology, portfolio, mechanistic, redox, target"
"Priority Therapeutic Domain 1: Neurotransmission, Neural Circuit Funct",71-79,2332,19.087906339576595,15.651006711409396,0.8076923076923077,17.152658662092623,0.75,1.0,SP-2017,0.12179111365625199,"medication, safety, subgroups, adaptive, monitoring, ahrq, fda, indication"
"Priority Therapeutic Domain 2: Immune, Autoimmune, and Inflammatory Bi",80-90,2913,20.273301841219723,17.44311377245509,0.8,15.10470305526948,1.0,1.0,SP-2017,0.1257871598523394,"immune, maternal, subgroups, autoimmune, acute, biomarkers, defined, inflammatory"
