words,semicolon_items,finite_verbs,opening
83,22,0,Minimum Data Set (Fields) Date and setting of developmental screening; screening result; d
62,15,1,The workforce agenda should define what adult and geriatric clinicians need to know: autis
54,15,2,The toolkit should cover autism and developmental trajectory; early intervention; medical 
132,14,1,"Appendix C Life Course Domain I: Timely, Equitable, and Technology-Enabled Diagnosis Commu"
81,13,0,Escalation criteria requiring specialty referral: regression or loss of acquired skills; s
60,12,2,Technology Assessment Criteria Technologies making diagnostic or rule-out claims should be
68,9,2,"It is our recommendation, in order to more effectively fulfill this obligation, that the C"
53,8,1,AHRQ and NIH HRSA; CMS; ED; FDA where regulated technology is involved 3–5 years Report ac
52,8,0,"Content and data partners: CMS (Medicaid, EPSDT, HCBS, waivers, appeals); HRSA (LEND/DBP, "
60,7,4,HRSA and AHRQ CMS; ED/OSEP; ACL; NIH 18–24 months Adopt standardized motor and sensorimoto
70,7,1,"In parallel, HUD, CMS, and ACL, with Treasury and congressional coordination where needed,"
119,7,2,Agency Actions Agency Priority actions FDA Convene a working group and workshops of intern
65,7,0,CDC (NCBDDD) Enhanced ADDM surveillance: current records-based surveillance at ages 4 Vali
61,6,0,Support the federal research initiative on improving communication and access for autistic
56,6,1,NIH and FDA AHRQ; CDC; DoD/CDMRP 18–24 months Publish clinician material limited to HRSA a
85,6,3,Because the drafting process was not provided the most recent 2024 Strategic Plan or a com
59,5,0,"Agency Actions Agency Priority actions NIH Fund motor-planning, praxis, speech-motor, moto"
67,5,0,The surveillance agenda supports required child and adult epidemiology; the diagnostic age
54,5,0,Reviews consistently describe a higher epilepsy burden in autistic populations — approxima
72,5,0,"Lead IDEA fiscal accountability, workforce capacity, service-delivery transparency, and pa"
73,5,1,The authorities needed to serve individuals with autism or those who provide care for them
56,4,1,The guidance should clarify same-day preventive and separately identifiable problem-orient
54,4,2,The federal objective is practical: identify the individuals whose biology shows measurabl
55,4,1,"Implementation would proceed in phases rather than at once: first, governance, a content i"
66,4,4,Its proposed governance follows the division of federal authority: a Secretary-designated 
73,4,0,"At its April 28, 2026 meeting, the Committee adopted four recommendations and transmitted "
